adult,cast,genre,id,original_title,overview,title,vote_average
0,NeilJordan LiamNeeson DianeKruger JessicaLange,"[""Mystery"",""Thriller"",""Crime""]",844417,Marlowe,private detective philip marlowe becomes embroiled in an investigation involving a wealthy californian family after a beautiful blonde hires him to track down her former lover.,marlowe,6.07
0,DamienChazelle BradPitt MargotRobbie DiegoCalva,"[""Drama"",""Comedy""]",615777,Babylon,"a tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during hollywood's transition from silent films and to sound films in the late 1920s.",babylon,7.491
0,JaumeCollet-Serra DwayneJohnson AldisHodge NoahCentineo,"[""Action"",""Adventure"",""SciFi"",""Fantasy""]",436270,Black Adam,"nearly 5,000 years after he was bestowed with the almighty powers of the egyptian gods—and imprisoned just as quickly—black adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",black adam,7.105
0,SamRaimi BenedictCumberbatch ElizabethOlsen ChiwetelEjiofor,"[""Fantasy"",""Action"",""Adventure""]",453395,Doctor Strange in the Multiverse of Madness,"doctor strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the multiverse to confront a mysterious new adversary.",doctor strange in the multiverse of madness,7.379
0,FedeÁlvarez JaneLevy ShilohFernandez LouTaylorPucci,"[""Horror""]",109428,Evil Dead,"five young friends find the mysterious and fiercely powerful book of the dead, and unable to resist its temptation, release a violent demon on a bloodthirsty quest to possess them all.",evil dead,6.506
0,TaikaWaititi ChrisHemsworth NataliePortman ChristianBale,"[""Fantasy"",""Action"",""Comedy""]",616037,Thor: Love and Thunder,"after his retirement is interrupted by gorr the god butcher, a galactic killer who seeks the extinction of the gods, thor odinson enlists the help of king valkyrie, korg, and ex-girlfriend jane foster, who now wields mjolnir as the mighty thor. together they embark upon a harrowing cosmic adventure to uncover the mystery of the god butcher’s vengeance and stop him before it’s too late.",thor,6.58
0,MattReeves RobertPattinson ZoëKravitz PaulDano,"[""Crime"",""Mystery"",""Thriller""]",414906,The Batman,"in his second year of fighting crime, batman uncovers corruption in gotham city that connects to his own family while facing a serial killer known as the riddler.",the batman,7.709
0,RubenÖstlund HarrisDickinson CharlbiDean WoodyHarrelson,"[""Comedy"",""Drama""]",497828,Triangle of Sadness,"a celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. what first appears instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.",triangle of sadness,7.217
0,LillyWachowski LanaWachowski KeanuReeves LaurenceFishburne Carrie-AnneMoss,"[""Action"",""SciFi""]",603,The Matrix,"set in the 22nd century, the matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",the matrix,8.202
0,JossWhedon RobertDowneyJr. ChrisEvans MarkRuffalo,"[""SciFi"",""Action"",""Adventure""]",24428,The Avengers,"when an unexpected enemy emerges and threatens global safety and security, nick fury, director of the international peacekeeping agency known as s.h.i.e.l.d., finds himself in need of a team to pull the world back from the brink of disaster. spanning the globe, a daring recruitment effort begins!",the avengers,7.708
0,JonFavreau RobertDowneyJr. TerrenceHoward JeffBridges,"[""Action"",""SciFi"",""Adventure""]",1726,Iron Man,"after being held captive in an afghan cave, billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil.",iron man,7.633
0,ChadStahelski KeanuReeves MichaelNyqvist IanMcShane,"[""Action"",""Thriller""]",245891,John Wick,ex-hitman john wick comes out of retirement to track down the gangsters that took everything from him.,john wick,7.407
0,PeterJackson ElijahWood IanMcKellen LivTyler,"[""Adventure"",""Fantasy"",""Action""]",120,The Lord of the Rings: The Fellowship of the Ring,"young hobbit frodo baggins, after inheriting a mysterious ring from his uncle bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: mt. doom, the only place where it can be destroyed.",the lord of the rings,8.4
0,TanelToom KateBosworth LucienLaviscount MartinMcCann,"[""SciFi"",""Thriller"",""Drama""]",516806,Last Sentinel,"set in the future on a war-ravaged earth, four exhausted soldiers man sentinel - a remote military base in a vast ocean that separates two warring continents. while their tour of duty ended three months ago, the relief crew still hasn't arrived and as the empty weeks turn to months, paranoia descends, testing relationships to breaking point...",last sentinel,5.892
0,ChristopherNolan ChristianBale HeathLedger MichaelCaine,"[""Drama"",""Action"",""Crime"",""Thriller""]",155,The Dark Knight,"batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker.",the dark knight,8.51
0,BenWheatley JasonStatham WuJing ShuyaSophiaCai,"[""Action"",""SciFi"",""Horror""]",615656,Meg 2: The Trench,an exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,meg 2,5
0,JonS.Baird TaronEgerton NikitaEfremov SofiaLebedeva,"[""Thriller"",""History"",""Drama""]",726759,Tetris,"in 1988, american video game salesman henk rogers discovers the video game tetris. when he sets out to bring the game to the world, he enters a dangerous web of lies and corruption behind the iron curtain.",tetris,7.86
0,CharlieHaskell DavidYost WalterJones SteveCardenas,"[""Action"",""Adventure"",""SciFi"",""Family""]",1068141,Mighty Morphin Power Rangers: Once & Always,"after tragedy strikes, an unlikely young hero takes her rightful place among the power rangers to face off against the team's oldest archnemesis.",mighty morphin power rangers,6.7
0,ChristopherNolan CillianMurphy EmilyBlunt MattDamon,"[""Drama"",""History""]",872585,Oppenheimer,the story of j. robert oppenheimer’s role in the development of the atomic bomb during world war ii.,oppenheimer,5
